"id","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","call"
"ENSMUSG00000000631","Myo18a",2193.03940133271,-0.323019070480472,0.139877658283324,-2.30929709894193,0.0209271005364882,0.186262490884721,"NS"
"ENSMUSG00000000673","Haao",3.36894839417506,-1.59299223285039,1.90641194283253,-0.835597069583783,0.403381617877189,NA,"NS"
"ENSMUSG00000000682","Cd52",6.71145089495155,-1.02264838251068,1.69580514496948,-0.603045925143174,0.546478138039429,NA,"NS"
"ENSMUSG00000000686","Abhd15",2.2131897249389,-0.122398412083912,2.39634619350934,-0.0510770991334377,0.959264084412194,NA,"NS"
"ENSMUSG00000000693","Loxl3",40.3252911285854,-0.416477504038164,0.417281863802382,-0.998072382641104,0.318244260892935,NA,"NS"
"ENSMUSG00000000706","Btn1a1",409.388414536426,0.518996610360388,0.263570011499066,1.96910341737503,0.0489412165096568,0.294050917017435,"NS"
"ENSMUSG00000000708","Kat2b",1361.32697455277,0.279861610863254,0.124928646445707,2.24017164057628,0.0250797820163719,0.203968633688705,"NS"
"ENSMUSG00000000711","Rab5b",1956.37087284125,-0.0965665761776658,0.136363757056514,-0.708154265195591,0.478849463944154,0.780851607297449,"NS"
"ENSMUSG00000000738","Spg7",1226.4639830743,-0.158199712959496,0.145252037986319,-1.08913936873227,0.276092431284953,0.644669824633578,"NS"
"ENSMUSG00000000739","Sult5a1",12.1540222271691,-0.394282312577963,0.906521620265904,-0.434939778338999,0.663606140254845,NA,"NS"
"ENSMUSG00000000740","Rpl13",15589.7221063591,0.0966995843170782,0.162345089532508,0.595642187857583,0.551414286908952,0.82560831948134,"NS"
"ENSMUSG00000000743","Chmp1a",1770.03249198008,-0.154319635514468,0.106388402483915,-1.45053062092741,0.1469106065826,0.488779080215501,"NS"
"ENSMUSG00000000751","Rpa1",7161.25026105645,-0.0523671231531307,0.0889464725873073,-0.588748734265191,0.556029840595683,0.827332540048687,"NS"
"ENSMUSG00000000753","Serpinf1",12.7982932357583,-0.703058215920947,0.954664101171573,-0.736445640993672,0.461459537449647,NA,"NS"
"ENSMUSG00000000759","Tubgcp3",2048.88644950348,0.38083543536542,0.135346392387069,2.81378342376716,0.00489622031507905,0.0907009701577298,"NS"
"ENSMUSG00000000776","Polr3d",144.43824176472,0.0378662752602166,0.292700975225111,0.129368462920543,0.897066100891667,0.96989145026152,"NS"
"ENSMUSG00000000782","Tcf7",3.47567880360315,0.0407436751641423,2.416210717286,0.0168626332433073,0.986546202877986,NA,"NS"
"ENSMUSG00000000787","Ddx3x",6257.36904963823,-0.0933670213244789,0.140844842271454,-0.662906925228613,0.507390166152809,0.798794441718222,"NS"
"ENSMUSG00000000792","Slc5a5",2.77064144175309,0.297617573266565,1.43336289550098,0.207635884953296,0.83551328280701,NA,"NS"
"ENSMUSG00000000804","Usp32",17028.6114655903,-0.565585350683434,0.189433117129833,-2.98567303992466,0.00282954999742857,0.0659959549918377,"NS"
"ENSMUSG00000000811","Txnrd3",21.491718237961,0.573883983531337,0.748761084097016,0.766444725453947,0.443411729127341,NA,"NS"
"ENSMUSG00000000817","Fasl",2.23041780125453,1.3844824065363,1.79372929289155,0.771845791905682,0.44020576661358,NA,"NS"
"ENSMUSG00000000823","Zfp512b",55.6119654789251,0.632375752396721,0.435255588685407,1.45288370519646,0.14625604592374,0.48804417399979,"NS"
"ENSMUSG00000000826","Dnajc5",1808.88386606525,0.044584772473481,0.102259962317023,0.435994415245929,0.662840781536929,0.880593938494085,"NS"
"ENSMUSG00000000827","Tpd52l2",1223.21017765435,0.0760751474584783,0.140844585292399,0.540135407410541,0.589103654020272,0.845453715164819,"NS"
"ENSMUSG00000000838","Fmr1",1964.38058638255,-0.169822434583058,0.109021070328893,-1.55770287404756,0.119303698897553,0.444206452098705,"NS"
"ENSMUSG00000000861","Bcl11a",1679.47493125486,0.68452916210836,0.209527070968477,3.26702014658214,0.00108685945510125,0.039776405179986,"Up"
"ENSMUSG00000000869","Il4",6.8500490729657,0.387128681987081,1.06130673424741,0.36476606573273,0.7152860379135,NA,"NS"
"ENSMUSG00000000876","Pxmp4",765.491122562694,-0.0611248772856405,0.135781868776629,-0.450169656938476,0.652588113444678,0.876510634841479,"NS"
"ENSMUSG00000000881","Dlg3",9.3639927139499,0.97143386943913,1.06713435328554,0.910320117095128,0.362653712273459,NA,"NS"
"ENSMUSG00000000884","Gnb1l",116.458567861636,-0.00765672043091347,0.280596381131948,-0.0272873099789301,0.978230578270879,0.994249418870001,"NS"
"ENSMUSG00000000902","Smarcb1",1472.31460169062,-0.0561287622389121,0.114146222327325,-0.491726849075722,0.62291245515088,0.865177542999594,"NS"
"ENSMUSG00000000903","Vpreb3",2.37018363859901,-3.51109859715793,2.13709480459099,-1.64293066906309,0.100397278703749,NA,"NS"
