p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.881228351674228e-117,1.827487534452725,0.642,0.317,7.944098190206809e-113,S100a4
4.2278724952978545e-117,1.7087391628740058,0.606,0.282,8.653609423375649e-113,Crip2
3.225935378383259e-115,-1.2494701125055037,0.532,0.825,6.6028445324748545e-111,Ifitm3
7.73761504447155e-114,2.4420984205025285,0.417,0.124,1.583735047302437e-109,Lbp
4.290778480508336e-113,-1.0324318900905927,0.541,0.844,8.782365393904462e-109,Palld
1.1046260269664755e-112,3.2188133994713777,0.318,0.066,2.260948551994982e-108,Ccn3
1.4648218422377823e-112,-1.5701871885735956,0.194,0.58,2.998197346692293e-108,Angptl4
3.222093367253478e-110,2.2785685153235957,0.537,0.235,6.594980704094419e-106,Apod
6.774805157145852e-110,-0.46841815574105894,0.96,0.967,1.386667119564613e-105,Rpl35
3.7578925544653827e-109,-0.43977863358596325,0.986,0.98,7.691654480479746e-105,Rps5
4.1293415347200345e-109,3.039023810116995,0.255,0.035,8.451936253264967e-105,Cd55
1.0739848084017453e-108,-1.0756510168165205,0.498,0.791,2.1982321058366924e-104,Efemp2
1.9489598456469644e-107,-0.7990313875075219,0.74,0.898,3.989131012070207e-103,Ostc
3.158110312535452e-107,2.424548712314321,0.331,0.075,6.464020187697563e-103,Arf2
3.425954743639121e-106,0.9340621109217464,0.878,0.705,7.012244169280553e-102,Lhfp
7.673258992584997e-106,2.518829556756379,0.353,0.09,1.570562650602297e-101,Ckb
2.4618159192271578e-105,1.1009160910683222,0.926,0.764,5.038844823474147e-101,Col11a1
3.326329999836704e-105,1.2665812379520245,0.835,0.658,6.808332243665766e-101,Pdgfrl
4.73150024133416e-104,1.2205246571677577,0.808,0.538,9.68443469396276e-100,Neat1
5.726146511894969e-104,0.9282763888859167,0.9,0.697,1.1720276680546623e-99,B2m
2.9430460770429614e-103,-0.756814618636385,0.824,0.93,6.023826710491534e-99,Ssr2
3.7231424459023966e-103,-0.7550627069479794,0.731,0.903,7.620527958273025e-99,Prdx2
9.172385316409797e-103,-1.3222531874014882,0.318,0.661,1.8774038265627574e-98,Nt5dc2
1.0601879800116803e-101,2.8990408391191727,0.294,0.061,2.1699927574879073e-97,Has1
1.9258022163129522e-101,-0.7706804821295186,0.72,0.917,3.9417319763493506e-97,Atpif1
2.105624555287636e-101,-0.8023827042212115,0.71,0.877,4.3097923397627333e-97,Tceal8
3.5773148990051446e-101,1.48880353888101,0.554,0.23,7.32204813528373e-97,Klf4
3.051504868500096e-100,-0.5508049356961218,0.947,0.979,6.245820164845996e-96,Selenom
1.2874192251624676e-99,1.3093164282756515,0.677,0.383,2.6350896700625387e-95,Pkd1
4.253705850661398e-99,-0.815005761175135,0.68,0.863,8.706485135133748e-95,Uba52
8.676234661230142e-99,2.0420793618851527,0.412,0.137,1.7758517104605856e-94,Ltbp4
1.1529319519915783e-98,0.9990343354320831,0.821,0.579,2.3598211193363624e-94,Aopep
2.5349194694285554e-98,-1.2255662659996556,0.366,0.676,5.188473170026367e-94,Erh
6.299941845461721e-98,-1.0969845064506718,0.502,0.767,1.289472096929105e-93,Ranbp1
7.453651874434894e-98,1.1753446893225314,0.875,0.762,1.525613465659334e-93,Emp3
1.8248862578704329e-97,0.4127314564825486,0.998,0.995,3.735177192609202e-93,Rpl23
2.1297483932560913e-97,-0.9354661578344211,0.849,0.951,4.359169011316567e-93,Kdelr2
2.2952361770633818e-97,-0.3698372259205924,1,0.995,4.69788940721333e-93,Rpl13
3.1242907914564263e-97,-0.5770883154299113,0.915,0.971,6.3947983919530136e-93,Cox6a1
8.61595407292038e-97,-1.1111962337824486,0.954,0.996,1.7635134796453435e-92,Actb
8.749933573822514e-97,-1.4526019766704663,0.416,0.706,1.7909364038899922e-92,Tpm2
1.5441255992956126e-96,2.03365730036718,0.473,0.192,3.16051627663826e-92,Prss23
1.54946671030766e-96,-1.2297235324201068,0.403,0.71,3.1714484626577184e-92,Atxn1
2.1634417595869108e-96,2.644500218481747,0.268,0.05,4.428132593522489e-92,Stk38l
9.480893258708347e-96,0.4193914226888391,0.993,0.981,1.9405492321924244e-91,Rpl39
2.3652541041366376e-95,-0.5498311069991144,0.912,0.969,4.84120210034687e-91,Slc25a4
3.1278457763089314e-95,-0.7377654906871666,0.802,0.933,6.402074734949121e-91,Cnn3
3.890621094188563e-95,0.4211358450536631,0.998,0.988,7.96332325558515e-91,Rplp1
5.452451322061264e-95,-0.9635027478478587,0.6,0.823,1.1160077365994996e-90,Ssr1
1.1726284952835158e-94,2.2760554135066755,0.299,0.067,2.4001360041463e-90,Col15a1
5.843824165319925e-94,2.7695311207215503,0.353,0.106,1.1961139301576824e-89,Rgs2
2.2684345756611114e-93,2.3564498884638048,0.331,0.089,4.643031889463163e-89,Osbpl3
2.6940809412306137e-93,0.7609384294625802,0.907,0.703,5.51424487051082e-89,Psap
4.122889794861398e-93,-1.1206312258038915,0.71,0.871,8.43873083212231e-89,Tpm1
4.300911006667977e-93,0.9631766486576798,0.983,0.988,8.803104648448016e-89,Crip1
4.898100489394978e-93,-1.0122063107717145,0.552,0.786,1.002543208169364e-88,Nme1
1.9041966678474924e-92,1.4139579658357415,0.61,0.327,3.8975097397502474e-88,Medag
3.8089782423134204e-92,-1.015992720105366,0.467,0.763,7.796216666367109e-88,Fkbp11
1.0558829302224598e-91,-0.6316786168179963,0.819,0.936,2.1611811815793306e-87,Krtcap2
4.210695347545538e-91,-2.0095642774435625,0.181,0.495,8.618451237356207e-87,Nav3
4.3267095653526695e-91,1.6660602201763344,0.623,0.364,8.855909138363844e-87,Tnfrsf12a
2.721573811195592e-90,2.771736514844095,0.262,0.053,5.5705172767551374e-86,Sdk2
3.5788262094998392e-90,0.46910788187124997,0.981,0.969,7.325141485604271e-86,Rps12
1.6024117837738282e-89,0.4718575855411695,0.977,0.958,3.279816439028272e-85,Rpl30
1.9595654952744135e-89,1.044333434737804,0.802,0.632,4.0108386557276695e-85,Spon1
2.4887369224342996e-89,-0.4075395911024926,0.995,0.991,5.093946732838524e-85,Rps18
1.3753783379489518e-88,-0.7898929600962757,0.665,0.858,2.8151243821139145e-84,Ndufa4
2.0540459144331424e-88,-0.3903068452175167,0.995,0.996,4.204221177661756e-84,Rpl18a
1.1169529541678152e-87,-0.49945492237977107,0.929,0.977,2.286179306590684e-83,P4hb
1.1282435124929478e-87,2.729766765009539,0.255,0.051,2.3092888213705655e-83,Cspg4
3.0436582922613137e-87,-1.374045285617752,0.271,0.595,6.229759792600457e-83,Ncam1
