p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.3991397009115038e-90,1.3413881766074751,0.128,0.041,4.910559139825666e-86,3,Ltb4r1
3.1801922057565743e-90,1.6449719410170465,0.112,0.033,6.509217406742556e-86,3,Rapsn
3.654908860802601e-90,0.7538412183289412,0.475,0.295,7.480867456290763e-86,3,Fkbp2
5.208174738592157e-90,1.1700139786768484,0.215,0.093,1.0660092054950426e-85,3,Fgd4
5.272144507580174e-90,1.4435507255904132,0.142,0.049,1.07910253781151e-85,3,Madd
7.141881545737633e-90,0.5703480696022861,0.537,0.332,1.4618003147815788e-85,3,Cd302
1.9786708196304605e-89,0.22681344743673293,1,0.997,4.049943433619627e-85,3,Rpl37a
2.122946490772593e-89,0.7908269040616769,0.328,0.168,4.345246877313343e-85,3,Rassf3
2.6944139807646863e-89,1.9552893153356568,0.083,0.02,5.51492653582916e-85,3,Krt80
2.9838792622681625e-89,1.6011621283918518,0.095,0.025,6.107404074010476e-85,3,I830077J02Rik
8.354057426054803e-89,1.0884504335760734,0.233,0.105,1.709908473964897e-84,3,Rgs19
8.440939426540217e-89,1.1317309525799353,0.245,0.114,1.7276914818242517e-84,3,Specc1l
1.1147823108025636e-88,1.0677921536246802,0.258,0.123,2.2817364337506875e-84,3,Ddi2
2.2447736659863503e-88,1.6517265953774127,0.114,0.035,4.594602739540862e-84,3,A930007I19Rik
4.237472614988442e-88,1.0897495406813702,0.252,0.119,8.673258948358342e-84,3,Trafd1
4.8973070219648397e-88,1.402469275480674,0.129,0.042,1.0023808012557634e-83,3,Ly6c2
1.0019242157328659e-87,0.5513670376246105,0.486,0.293,2.05073848476203e-83,3,Pde4b
1.091486964096606e-87,0.255087826300306,0.997,0.991,2.234055518112933e-83,3,Rps11
1.2992068300999773e-87,0.711186381685735,0.424,0.248,2.6592165398486335e-83,3,H2afy
1.6711742956237842e-87,0.9339692219169304,0.285,0.141,3.420559548282761e-83,3,Apobec3
2.6526005208253296e-87,1.084853068382377,0.359,0.205,5.4293427460252846e-83,3,Rgl1
3.1671749293516243e-87,1.0802525179758073,0.313,0.166,6.482573645396905e-83,3,Mxi1
3.5918379410531667e-87,0.3214685956968375,0.665,0.433,7.351773897747622e-83,3,Zfp36
4.547377030074577e-87,1.068538365601868,0.235,0.107,9.307571305156644e-83,3,Fkbp15
7.022173891029146e-87,0.4118710270876382,0.533,0.341,1.4372985520158455e-82,3,Marcksl1
7.0820744033492774e-87,1.301133189271951,0.17,0.066,1.44955898887753e-82,3,Slc15a4
8.50651624340054e-87,1.6939423914155212,0.097,0.027,1.7411137446992226e-82,3,Ptpn7
1.072156233185781e-86,1.2501351318575424,0.193,0.08,2.1944893780846565e-82,3,Tnip2
1.0772779504404126e-86,2.322241152932286,0.064,0.013,2.2049725089614366e-82,3,Gpr162
1.854954657365403e-86,1.0636409266246498,0.203,0.086,3.796721192695507e-82,3,D1Ertd622e
2.046621932910944e-86,1.075339551651449,0.248,0.117,4.1890257722821204e-82,3,Tbc1d22a
8.000466861568648e-86,1.0347181016190998,0.241,0.112,1.6375355572258708e-81,3,Fam111a
1.2281145788987977e-85,2.0371431244475735,0.07,0.015,2.5137049200900593e-81,3,Gm44710
1.334396164250872e-85,0.45191141951164165,0.732,0.55,2.7312420689886845e-81,3,Tpm3
1.7369071408026496e-85,0.9178977248251243,0.313,0.165,3.555101535794863e-81,3,Aup1
2.6026493495433206e-85,1.0272914438108331,0.267,0.131,5.327102688645269e-81,3,Mgat5
2.824629607770774e-85,0.11824498273186798,0.315,0.153,5.78145188118522e-81,3,Clec4e
3.1943589374504866e-85,1.7848340910720726,0.064,0.013,6.538213873173656e-81,3,Chil3
3.2117803933415426e-85,1.2540792415297606,0.189,0.079,6.57387210909147e-81,3,Arrdc1
5.1309259528599715e-85,1.6634059978457136,0.091,0.024,1.050197924031379e-80,3,Arhgap4
6.457383179735398e-85,1.7112130990027148,0.143,0.052,1.3216971892282412e-80,3,Nrg1
9.124462564391201e-85,1.4126256644214608,0.15,0.055,1.867594997679591e-80,3,Klc4
1.37997722971415e-84,0.7890909344243062,0.366,0.204,2.8245373937789224e-80,3,Epn1
1.6642613353438616e-84,1.013174180964139,0.134,0.045,3.4064101011818156e-80,3,Klra2
2.1611893057640853e-84,0.7991267053171451,0.376,0.215,4.42352227103793e-80,3,Pold4
2.8512687852853085e-84,0.9585588805670922,0.301,0.156,5.83597694972197e-80,3,Cept1
3.184931959596221e-84,1.227105879126431,0.094,0.026,6.518918734901545e-80,3,Siglece
4.939905113407635e-84,1.124339607352629,0.22,0.099,1.0110997786122747e-79,3,Itprid2
7.0168241942281515e-84,1.2317453122016966,0.19,0.08,1.436203576074618e-79,3,Stard3
1.0615596783624269e-83,1.3025241961197591,0.12,0.039,2.1728003496722152e-79,3,Hk3
1.4832872860164956e-83,1.4360587667947877,0.13,0.044,3.0359924170185633e-79,3,B3gnt8
1.971213797781918e-83,1.4505813153228209,0.138,0.049,4.0346804013000295e-79,3,C9orf72
2.3094472224681154e-83,1.7374621583962222,0.078,0.019,4.726976574947739e-79,3,Gm5547
2.399522885186586e-83,0.5439131507321878,0.651,0.48,4.9113434413999044e-79,3,Pomp
2.4580240738744888e-83,0.8669246369573962,0.292,0.148,5.031083674406304e-79,3,Cmtm6
3.0671214237202386e-83,0.741935218381996,0.382,0.217,6.277784130070585e-79,3,Pias1
4.319047270377506e-83,1.0917757822645566,0.21,0.092,8.84022595300868e-79,3,Map3k8
4.6706956682735794e-83,0.8583216877181494,0.322,0.172,9.559979893822363e-79,3,Mob1a
4.9289460773945696e-83,0.6976211750312574,0.476,0.294,1.0088566831211205e-78,3,Fbxo11
5.115888121244946e-83,0.7673852663662248,0.357,0.197,1.0471199806564156e-78,3,Bcl10
6.077504457863115e-83,0.7802540148663228,0.304,0.157,1.2439436124354225e-78,3,Relb
8.413672455672907e-83,0.8728389730056234,0.324,0.174,1.7221104782271307e-78,3,Rpp21
1.0857055743671116e-82,1.3103842741582183,0.156,0.059,2.222222169614604e-78,3,Ppp1r21
1.5906165627777222e-82,1.0623181222430218,0.097,0.028,3.255673980693442e-78,3,Rnase6
2.0643186539047237e-82,1.0706157261851517,0.314,0.171,4.2252474208121886e-78,3,Fnip2
4.0983689127859697e-82,2.0558834899699865,0.071,0.016,8.388541490690323e-78,3,Il10
4.90315610487053e-82,0.9943612950788128,0.262,0.129,1.0035779915449002e-77,3,Ubtd1
5.785837365367559e-82,1.4835580674788789,0.145,0.054,1.184245191943432e-77,3,Tnfsf9
8.156016768734632e-82,1.1909306627507057,0.207,0.092,1.6693735122246045e-77,3,Dusp22
8.229381608579776e-82,0.9032246231926275,0.283,0.143,1.6843898276441085e-77,3,Ten1
9.42660578304189e-82,0.9987902602449035,0.247,0.118,1.929437671673014e-77,3,Pip5k1c
1.0264308704398908e-81,1.827843960565359,0.081,0.021,2.1008987056163683e-77,3,Relt
1.1534506903314458e-81,1.2519507353969956,0.165,0.065,2.3608828729704033e-77,3,Rnf180
1.155591737034484e-81,0.9408621750028856,0.287,0.148,2.365265167362182e-77,3,Bscl2
1.8494016337376174e-81,0.9692915429144666,0.287,0.148,3.785355263934155e-77,3,Mndal
2.0472670068070714e-81,0.4196564001649958,0.688,0.504,4.190346109532714e-77,3,H2afj
2.292565066501491e-81,1.0256500178393102,0.209,0.093,4.692422178115252e-77,3,B4galnt1
2.297794482086704e-81,2.0551272189161445,0.06,0.012,4.703125745935066e-77,3,Rasgrp1
2.499892092764043e-81,0.33868463940133864,0.611,0.403,5.116779135469443e-77,3,Litaf
2.7664571690040144e-81,0.30308054029716625,0.564,0.354,5.662384533517417e-77,3,Taldo1
4.020652386222799e-81,0.9443567958699801,0.258,0.126,8.229471304120826e-77,3,Tmem243
4.165246334620466e-81,0.5731130018441413,0.498,0.308,8.525426197701169e-77,3,Ptbp3
2.5193377239981484e-80,0.6442595071889089,0.43,0.253,5.15658045347941e-76,3,Atf3
2.7517114436883583e-80,1.439705563444472,0.148,0.056,5.632202982941331e-76,3,Slc12a9
3.0020580453395567e-80,0.9983047205761921,0.254,0.125,6.144612407201005e-76,3,Wdfy2
6.5557396913020725e-80,1.1369606168227717,0.198,0.087,1.3418288000157082e-75,3,Znrf2
7.859300861497303e-80,1.4039836412105107,0.108,0.034,1.6086417003312679e-75,3,Itgax
1.2168233890915493e-79,2.167972260745702,0.063,0.013,2.4905941127925833e-75,3,Plxna4os1
1.2564275592356331e-79,1.048010439770733,0.253,0.126,2.571655928243494e-75,3,Rbfa
1.3099779704971665e-79,1.4443608328894308,0.089,0.024,2.6812629100136005e-75,3,Ipcef1
1.8198468150325187e-79,1.0024542003761574,0.234,0.11,3.724862461008559e-75,3,Ttc7
2.1492811281269778e-79,0.8879689904088053,0.322,0.176,4.3991486130502984e-75,3,Ube2f
2.2791674452979748e-79,0.812785740137175,0.215,0.096,4.664999927035895e-75,3,Ptk2b
5.199805641173126e-79,0.7990242319236462,0.339,0.186,1.0642962186353155e-74,3,Mtss1
6.946378188737098e-79,1.0145454081395173,0.163,0.064,1.4217846876707093e-74,3,Bst1
7.999628443083431e-79,0.8939532656686806,0.281,0.143,1.6373639497303167e-74,3,Uap1l1
1.3232521916744156e-78,0.9382607205405735,0.266,0.134,2.7084325859191937e-74,3,St6gal1
1.5313561613632323e-78,1.3822680116572408,0.145,0.055,3.1343797910782638e-74,3,Atg4c
2.166857411650984e-78,1.1377871196258251,0.189,0.081,4.435123750167234e-74,3,Plekhb2
3.8543563357121747e-78,0.9193306862090123,0.227,0.106,7.88909654793568e-74,3,Stk4
4.169240329724246e-78,1.3639219426480897,0.129,0.046,8.533601106879587e-74,3,Tex14
5.094880380993258e-78,1.3701003453860006,0.148,0.057,1.0428201163817e-73,3,Acox3
7.66105485419863e-78,1.025904261050907,0.288,0.154,1.5680647075573757e-73,3,Gab1
8.746522102508085e-78,1.3146212670446893,0.153,0.06,1.7902381439413548e-73,3,Slc35f6
9.32137940503229e-78,0.9434865207571643,0.239,0.114,1.907899936622009e-73,3,Dgkz
9.898559241712915e-78,0.7953661525566585,0.446,0.28,2.0260371055937995e-73,3,Sdc4
1.4266780699004799e-77,0.7947351274598597,0.342,0.191,2.9201246734723024e-73,3,Edem1
2.5329247320473284e-77,2.2445510135858404,0.061,0.013,5.184390341554472e-73,3,Tmem171
2.6237507296223813e-77,1.3821814706009854,0.135,0.05,5.37029299339109e-73,3,Cln6
2.6534406994917184e-77,0.9111332751496442,0.306,0.166,5.431062423719649e-73,3,Commd4
2.843026060636518e-77,2.487249622705491,0.05,0.009,5.819105740910826e-73,3,Fhad1
3.5714984464266184e-77,0.8737085067269839,0.312,0.17,7.310143020146002e-73,3,Prpf38b
3.71979418036211e-77,0.5632189726393728,0.547,0.366,7.613674728365167e-73,3,Scp2
3.726107058152154e-77,1.5497087612295042,0.107,0.034,7.626595926625828e-73,3,Gm15965
7.890422803856043e-77,0.6088656207582033,0.533,0.356,1.6150117394932549e-72,3,Abracl
9.393931156021596e-77,1.349307077257166,0.144,0.055,1.9227498290145004e-72,3,Abcd1
9.512781509744845e-77,1.9274500830140613,0.076,0.019,1.947076119414575e-72,3,Abhd15
9.728810757449339e-77,0.8718031920379388,0.321,0.177,1.9912929858347308e-72,3,Ubac2
1.0236840632159232e-76,0.6285945542993039,0.563,0.392,2.0952765405903517e-72,3,Foxn3
1.1460649244348209e-76,0.6121274409542352,0.491,0.314,2.3457656873331916e-72,3,Diaph2
1.6150563696747352e-76,0.8825982596313369,0.253,0.126,3.305697377450248e-72,3,Cfh
3.798478111686642e-76,0.9422655525383705,0.202,0.091,7.774724999000219e-72,3,Eepd1
4.501477871612424e-76,0.7891989517656146,0.386,0.228,9.21362490761631e-72,3,Sgms1
6.716939840672221e-76,0.5583212806466027,0.504,0.325,1.3748232465887902e-71,3,Atp6v0d1
8.150212747299557e-76,1.3325443407623974,0.151,0.06,1.6681855451172733e-71,3,Nagpa
1.4133655918472453e-75,1.9388609104953574,0.06,0.013,2.8928766933929417e-71,3,Oas3
1.650599403374617e-75,1.0888098547224914,0.206,0.095,3.378446858827166e-71,3,Faim
1.6924301702896369e-75,0.8274905809574178,0.309,0.168,3.4640660725488286e-71,3,Ap1s2
2.2601133939147747e-75,0.6494635920018695,0.446,0.278,4.626000094664761e-71,3,Capza1
2.6833694494112426e-75,0.77942762747974,0.345,0.196,5.492320589054932e-71,3,Tcn2
2.8374163159285836e-75,1.1782013667074573,0.18,0.077,5.807623715442625e-71,3,Slc7a7
3.764465505524622e-75,1.0535609619901287,0.223,0.106,7.705107996707796e-71,3,Rab11fip5
4.83653082870163e-75,0.2609718862630128,0.992,0.981,9.899411300186497e-71,3,Rps13
7.132353479863872e-75,0.9183243581780738,0.291,0.156,1.4598501102585374e-70,3,Arhgap17
1.6772156376549654e-74,0.9645950425384087,0.225,0.107,3.432924967152183e-70,3,Smagp
3.4629986358703446e-74,1.6364060170026389,0.095,0.029,7.088065607899421e-70,3,Tfec
3.5244482363439258e-74,0.6681585450911247,0.361,0.206,7.213840650148747e-70,3,Lrch1
3.889974442761523e-74,1.0079439499094507,0.217,0.102,7.961999689444285e-70,3,Tmem251
5.802002647181573e-74,0.9779601018303817,0.342,0.2,1.1875539018251243e-69,3,Furin
6.571593460373407e-74,0.9983829201851298,0.163,0.066,1.345073749469229e-69,3,Gla
7.566976074336271e-74,1.5790074567616346,0.137,0.052,1.548808662895148e-69,3,Ifi47
9.58117310608131e-74,1.0863035026690007,0.201,0.092,1.9610745113527223e-69,3,Tmem192
1.451729956798708e-73,1.202282350555735,0.141,0.054,2.9714008755755957e-69,3,Dck
1.514769436834172e-73,1.3970928107716198,0.124,0.045,3.1004300833121833e-69,3,Rnasel
1.7235037048044373e-73,1.0307357505409416,0.23,0.112,3.527667382993722e-69,3,Ethe1
2.0344062694577784e-73,0.9878519090878275,0.256,0.131,4.164022752326181e-69,3,Fam117b
2.886471459733627e-73,0.9751719143347459,0.255,0.13,5.908029783782788e-69,3,Cnpy3
3.9316539261087377e-73,0.9612906443668061,0.279,0.149,8.047309255959364e-69,3,Man1c1
8.295930678262769e-73,1.8225760376659803,0.081,0.023,1.6980110912268236e-68,3,Rtn1
