p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
1.254846010098483e-26,-1.2425286885075109,1,1,3.3239615961498716e-22,Olfml3
2.1379071819514527e-26,-2.5236026307446338,1,1,5.663102334271203e-22,Dcn
2.3121146526199084e-26,0.9477244520387118,1,1,6.124560503324876e-22,Rpl15
2.9383315191146054e-26,1.8675955151158465,1,1,7.783346360982678e-22,Gapdh
3.8732402004016834e-26,-1.4751961522356796,1,1,1.025982596684402e-21,Ddit3
4.278383069988054e-26,-1.5984063596709936,1,1,1.1333008914091355e-21,Axl
4.4494660068025595e-26,-4.010042795030509,1,1,1.17861905054193e-21,Myoc
4.991239475440504e-26,-3.099052058626884,1,1,1.322129424649435e-21,Igfbp6
6.363626521671514e-26,-2.606214349045384,1,1,1.6856610293255672e-21,Ecm2
9.267751208506115e-26,-1.006541630034907,1,1,2.454934617621185e-21,Gm15261
1.2245939037252512e-25,-1.5308459453248584,1,1,3.243826791577818e-21,Scd1
2.187868385858406e-25,1.3075978888809212,1,1,5.795444567300331e-21,Col5a2
2.5503353837285567e-25,0.9225074476903674,1,1,6.755583397958574e-21,Rps11
2.730167766952352e-25,1.1080012522146325,1,1,7.231941397880086e-21,Rps18
3.731838397390407e-25,-1.2664468036235832,1,1,9.885266730847449e-21,Fam43a
3.918349829045717e-25,-2.6090098579938337,1,1,1.03793168621592e-20,Lpl
4.251939555947165e-25,-2.1045009762007,1,1,1.1262962689748444e-20,Gab2
4.424890806785812e-25,0.939777183413232,1,1,1.1721093258094938e-20,Rpl27
5.7942581097164405e-25,-1.9659213040430434,1,1,1.534841030682788e-20,Dapk1
6.4847355464790585e-25,-1.4589534184074129,1,1,1.7177415989068378e-20,Ctdspl
8.061285340877301e-25,-0.7766194306743075,1,1,2.135353873944988e-20,Galnt15
1.1253946949591462e-24,-2.0474862201566317,1,1,2.9810580074772827e-20,Fbln1
1.2318951491179826e-24,1.32609614742876,1,1,3.263167060498624e-20,Pfn1
1.340448405206416e-24,1.2388450638881756,1,1,3.5507137805512755e-20,Sec61b
1.4710489204661482e-24,0.952574200449547,1,1,3.89666148542278e-20,Rps2
1.6935996638732373e-24,-1.295951745664727,1,1,4.4861761496338183e-20,Plac9b
1.7953063554875745e-24,1.21098711780951,1,1,4.755587005051036e-20,Cfl1
2.481069777403914e-24,-1.3147062614005598,1,1,6.572105733365227e-20,Tmod2
2.755806484125143e-24,-2.2057148305047334,1,1,7.299855795799091e-20,Ntng1
3.663406137956711e-24,-1.2932891790022705,1,1,9.703996518833533e-20,Aldh2
5.20968874966611e-24,-3.631484948814504,1,1,1.3799944528990557e-19,Tnxb
5.2832991361072494e-24,0.9861465404018395,1,1,1.3994931081634494e-19,Lgals1
9.141255026099919e-24,1.0861670346785361,1,1,2.4214270438636073e-19,Rpl10a
1.9290065867970973e-23,-1.4310559809740786,1,1,5.109745547766831e-19,Maff
1.9513191912271414e-23,-1.2491383886016818,1,1,5.168849405641575e-19,Mtcl1
2.2735853949507944e-23,1.1313574200800849,1,1,6.022500352685159e-19,Rplp0
2.4685521159737434e-23,1.4605998559924627,1,1,6.538947700002849e-19,Npm1
2.6351801346377898e-23,-1.3923916434795331,1,1,6.980328658642042e-19,Znhit6
3.0145964339699924e-23,0.9627158236113758,1,1,7.985364493943113e-19,Rpl41
3.0822257087530995e-23,-1.377406774449395,1,0.75,8.164507679916086e-19,Ntf3
6.607925789704537e-23,-1.9771373332587716,1,1,1.750373462434835e-18,Gas1
7.24408800452621e-23,-1.31475530067801,1,1,1.9188864715189477e-18,Mapk8ip1
8.226903202518874e-23,-2.276438820111935,1,1,2.1792243893152244e-18,Etv4
8.741257928077736e-23,-1.8520382599611789,1,1,2.3154718125685116e-18,Aig1
1.0644353545404035e-22,-2.105882870126682,1,1,2.8195828106420747e-18,Nlgn1
1.7206442031019383e-22,-1.875511204687696,1,1,4.5578144295967245e-18,Hspa5
1.9353300709903298e-22,-1.6897465908558487,1,1,5.1264958250462844e-18,Frmd4b
2.1551241878830252e-22,-1.0701510072476523,1,1,5.7087084612833454e-18,Fgf1
2.799768644890974e-22,-1.5805692801202644,1,1,7.416307163451701e-18,Dusp6
2.9336421119972694e-22,-1.0050707580723535,1,1,7.770924590469567e-18,Dio2
3.6922040615131726e-22,-1.1136534910114904,1,1,9.780279338542243e-18,Dnajc3
7.004070371676271e-22,-0.8929448041687205,1,1,1.8553082007533273e-17,Hr
9.871730012803308e-22,3.672437643671185,1,0.75,2.6149225630914683e-17,Fabp5
1.1282568634941147e-21,-1.1243828918628793,1,1,2.98863960570956e-17,Tshr
1.3565516209061096e-21,-1.0920343622457263,1,0.75,3.5933695886181935e-17,Uts2r
1.4150882151250163e-21,0.8506786176960377,1,1,3.7484271730446554e-17,Rps5
1.5003317130456413e-21,-2.926502395219912,1,1,3.974228674686599e-17,Cpxm2
1.6597004753373862e-21,4.663811183697208,1,0.5,4.3963805891212023e-17,H19
1.6708189882918563e-21,1.2709531633633808,1,1,4.425832418086298e-17,Kdelr2
1.7526143355824203e-21,-1.5689145761430137,1,1,4.642500113524273e-17,Gnai1
1.8747923383123854e-21,-2.1712326390713725,1,1,4.9661374249556776e-17,Nupr1
1.9405443669978787e-21,-1.244660712708622,1,1,5.1403079737406805e-17,Mbnl1
3.08284885371832e-21,-1.8403436573009535,1,1,8.166158328614458e-17,Lbp
3.626038316241152e-21,0.9993871509452958,1,1,9.605012895891187e-17,Rps3
3.640532356051673e-21,0.8392861893374759,1,1,9.643406157945276e-17,Rpl18a
3.756410861493156e-21,-0.6996712575204529,1,0.75,9.950356731009221e-17,Amph
4.5788927838369845e-21,1.5297974885615104,1,1,1.2129029095105787e-16,Nme1
5.007551165711685e-21,0.9093628501801914,1,1,1.3264502282853683e-16,Reep5
5.174880374415105e-21,-1.0998938689438762,1,1,1.3707740623788172e-16,P2rx7
5.73755752202832e-21,-0.7698976644731848,1,0.75,1.5198216120100817e-16,Rnf165
7.925092945872044e-21,-2.3098745493582995,1,1,2.0992778704320457e-16,Reln
7.966956908550826e-21,-1.5116999046251385,1,1,2.1103672155060284e-16,Col8a2
9.221374576395849e-21,0.7335131929320462,1,1,2.4426499115414964e-16,Rps9
1.4780654600939636e-20,0.7968091718736305,1,1,3.9152475972429004e-16,Bgn
1.5896474719784782e-20,-1.0491392451226798,1,1,4.210817188523791e-16,Gm26691
2.0404116412175804e-20,-1.230173527443214,1,1,5.404846396421249e-16,Nkd2
3.7785597432520537e-20,1.3618122883135992,1,1,1.0009026903900366e-15,Tubb5
4.3567983182179775e-20,-1.0884751186053228,1,1,1.1540723065127601e-15,Gm9780
4.715168070748931e-20,-1.2727049779346378,1,1,1.2490008702606842e-15,Prex1
5.0431520683957014e-20,-4.729143224939982,1,1,1.3358805513973374e-15,Chodl
5.3237011003133127e-20,-1.1558285091315967,1,1,1.4101951844619933e-15,Tcf4
5.401140465074306e-20,-0.7210880168434459,1,0.75,1.4307080977935329e-15,Syt9
6.016110407692834e-20,1.2613322267761862,1,1,1.5936074858937547e-15,Cox6a1
6.553064084081671e-20,-0.7298846311977951,1,1,1.7358411452323939e-15,P2ry1
7.835767925730715e-20,0.8331503936114224,1,1,2.0756165658468093e-15,Rpl24
9.548125146334302e-20,1.1841106093024008,1,1,2.5292028700124932e-15,Tmem258
1.0652715628074146e-19,2.49072542324699,1,1,2.8217978427205606e-15,Adam12
1.2472123941275663e-19,1.7423401481725331,1,1,3.3037409108045105e-15,Bnc2
1.529253329892426e-19,-0.738942481452264,1,0.75,4.050839145552047e-15,Bmerb1
1.8812130119861413e-19,2.367639748100419,1,1,4.98314514745009e-15,Mest
1.9666140441327906e-19,1.2947085225131807,1,1,5.209363941503349e-15,H2afz
2.0427441099200402e-19,-1.0450533251703589,1,1,5.411024872767195e-15,Mxra7
3.505509853395748e-19,-1.1161388017116287,1,1,9.285745050659997e-15,Ski
4.805415768071263e-19,0.8208619524748131,1,1,1.2729065828043968e-14,Rpl14
6.044735767664823e-19,-1.2356571950099524,1,1,1.601190057496735e-14,Slc1a5
6.097202755636226e-19,-1.2741274208263516,1,1,1.61508803794048e-14,Pea15a
6.367764068629569e-19,-0.7484393895807648,1,0.75,1.6867570241392867e-14,Sel1l3
